prediction_covid_topic,title,description,authors,date_download,maintext,url,gdelt_title,gdelt_url,date_publish,modeSearch,sourcecountrySearch,termSearch,periodtimeSearch,isOR,countMaximumRecords,urlGDELTV2FTAPI,urlArticleMobile,datetimeArticle,urlImage,domainArticle,languageArticle,countryArticle,pred_input,model_accuracy,model_kappa,model_f1,model_precision,model_recall,model,sample_size,train_prop_covid,mtry,n_tree,min_node_size,splitrule,model_type,fitted_on
1,"PR quer ""precauções bem explicadas"" e rejeita ""separar velhos e novos"" no combate à covid-19","As últimas notícias e reportagens sobre Portugal e o Mundo. Actualidade, Globo, Desporto, Fama e TV, Arte e Lazer. Passatempos. Todas as fotos e videos em destak.pt",Destak,2020-04-25 19:16:01,"25 Abril
O Presidente da República defendeu hoje que no combate à propagação da covid-19 é preciso ""conjugar aberturas amadurecidas com precauções bem explicadas e bem compreendidas"" e rejeitou uma vez mais ""o simplismo de separar velhos e novos"".
No seu discurso na sessão solene comemorativa do 46.º aniversário do 25 de Abril, na Assembleia da República, Marcelo Rebelo de Sousa considerou que este momento exige unidade e prometeu que os mortos pela covid-19 ""hão de merecer no fim desta privação uma homenagem coletiva daqueles que não puderam prestar a sua homenagem pessoal"".
O chefe de Estado afirmou também que haverá que ""retirar, a seu tempo, as lições"" desta crise de saúde pública, que no seu entender mostrou ""as fragilidades, as desigualdades, as clivagens"" do tecido social português e ""as debilidades, as carências, as descoordenações, a rigidez, a lentidão"" em várias instituições - ""em demasiadas"", observou, sem dar exemplos.",http://www.destak.pt/artigo/416976-pr-quer-precaucoes-bem-explicadas-e-rejeita-separar-velhos-e-novos-no-combate-a-covid-19,Destak . pt | 25 Abril : PR quer  precaues bem explicadas  e rejeita  separar velhos e novos  no combate à covid - 19,http://www.destak.pt/artigo/416976-pr-quer-precaucoes-bem-explicadas-e-rejeita-separar-velhos-e-novos-no-combate-a-covid-19,NA,artlist,PO,,100 minutes,FALSE,250,https://api.gdeltproject.org/api/v2/doc/doc?query=%20sourcecountry:po&sourcelang:por&mode=artlist&format=json&timespan=100&maxrecords=250&sort=datedesc,NA,2020-04-25T14:45:00Z,http://www.destak.pt/images/newsletter_no_img.jpg,destak.pt,Portuguese,Portugal,"25 Abril
O Presidente da República defendeu hoje que no combate à propagação da covid-19 é preciso ""conjugar aberturas amadurecidas com precauções bem explicadas e bem compreendidas"" e rejeitou uma vez mais ""o simplismo de separar velhos e novos"".
No seu discurso na sessão solene comemorativa do 46.º aniversário do 25 de Abril, na Assembleia da República, Marcelo Rebelo de Sousa considerou que este momento exige unidade e prometeu que os mortos pela covid-19 ""hão de merecer no fim desta privação uma homenagem coletiva daqueles que não puderam prestar a sua homenagem pessoal"".
O chefe de Estado afirmou também que haverá que ""retirar, a seu tempo, as lições"" desta crise de saúde pública, que no seu entender mostrou ""as fragilidades, as desigualdades, as clivagens"" do tecido social português e ""as debilidades, as carências, as descoordenações, a rigidez, a lentidão"" em várias instituições - ""em demasiadas"", observou, sem dar exemplos.",0.9646357051555177,0.9280809565036006,0.9686674216685542,0.970499243570348,0.9668425018839487,"Random Forests
('ranger' package, R 3.5.3.)
Wright MN, Ziegler A (2017). “ranger: A Fast Implementation of Random Forests for High Dimensional Data in C++ and R.” Journal of Statistical Software, 77(1), 1–17. doi: 10.18637/jss.v077.i01.",5479,0.4347048300536673,204,500,20,gini,classification,2020-04-05
1,Doentes em casa passam a recuperados só com um teste negativo,"As últimas notícias e reportagens sobre Portugal e o Mundo. Actualidade, Globo, Desporto, Fama e TV, Arte e Lazer. Passatempos. Todas as fotos e videos em destak.pt",Destak,2020-04-25 19:16:01,"CORREÇÃO Covid-19
(NOVA VERSÃO PARA ACRESCENTAR O PRIMEIRO PARÁGRAFO QUE, POR MOTIVOS TÉCNICOS, NÃO SAIU NA VERSÃO ANTERIOR)
Lisboa, 25 abr (Lusa ) - Os infetados com o novo coronavírus que estão em casa passam a ser considerados casos recuperados se ao fim de 14 dias tiverem um único teste negativo e se já não tiverem sintomas, foi hoje anunciado.
Já os doentes internados em hospitais continuarão a precisar de ter dois testes negativos, com um intervalo de 24 horas, para serem considerados recuperados da doença da covid-19, anunciaram a ministra da Saúde, Marta Temido, e a diretora-geral da Sáude, Graça Freitas, na conferência de imprensa diária sobre a situação da pandemia do novo coronavírus em Portugal.",http://www.destak.pt/artigo/416986-doentes-em-casa-passam-a-recuperados-so-com-um-teste-negativo,Destak . pt | CORREO Covid - 19 : Doentes em casa passam a recuperados só com um teste negativo,http://www.destak.pt/artigo/416986-doentes-em-casa-passam-a-recuperados-so-com-um-teste-negativo,NA,artlist,PO,,100 minutes,FALSE,250,https://api.gdeltproject.org/api/v2/doc/doc?query=%20sourcecountry:po&sourcelang:por&mode=artlist&format=json&timespan=100&maxrecords=250&sort=datedesc,NA,2020-04-25T14:45:00Z,http://www.destak.pt/images/newsletter_no_img.jpg,destak.pt,Portuguese,Portugal,"CORREÇÃO Covid-19
(NOVA VERSÃO PARA ACRESCENTAR O PRIMEIRO PARÁGRAFO QUE, POR MOTIVOS TÉCNICOS, NÃO SAIU NA VERSÃO ANTERIOR)
Lisboa, 25 abr (Lusa ) - Os infetados com o novo coronavírus que estão em casa passam a ser considerados casos recuperados se ao fim de 14 dias tiverem um único teste negativo e se já não tiverem sintomas, foi hoje anunciado.
Já os doentes internados em hospitais continuarão a precisar de ter dois testes negativos, com um intervalo de 24 horas, para serem considerados recuperados da doença da covid-19, anunciaram a ministra da Saúde, Marta Temido, e a diretora-geral da Sáude, Graça Freitas, na conferência de imprensa diária sobre a situação da pandemia do novo coronavírus em Portugal.",0.9646357051555177,0.9280809565036006,0.9686674216685542,0.970499243570348,0.9668425018839487,"Random Forests
('ranger' package, R 3.5.3.)
Wright MN, Ziegler A (2017). “ranger: A Fast Implementation of Random Forests for High Dimensional Data in C++ and R.” Journal of Statistical Software, 77(1), 1–17. doi: 10.18637/jss.v077.i01.",5479,0.4347048300536673,204,500,20,gini,classification,2020-04-05
1,PSP da Amadora encontra 13 gatos mortos em apartamento,"As últimas notícias e reportagens sobre Portugal e o Mundo. Actualidade, Globo, Desporto, Fama e TV, Arte e Lazer. Passatempos. Todas as fotos e videos em destak.pt",Destak,2020-04-25 19:16:02,"Covid-19
Treze gatos foram encontrados mortos na sexta-feira, em elevado estado de decomposição, no interior de um apartamento na Damaia, Amadora, cuja proprietária se ausentou há mais de um mês, disse hoje à Lusa fonte policial.
Segundo a fonte, a PSP da Amadora tomou conta da ocorrência após ter sido chamada ao local pelos vizinhos da proprietária que se queixavam da existência de um ""cheiro insuportável"".
De acordo com a fonte, a proprietária do apartamento, na casa dos 50 anos, terá ido há mais de um mês para a sua terra, no concelho de Torres Vedras, devido à pandemia da covid-19, abandonando os animais à sua sorte, que acabaram todos por morrer.",http://www.destak.pt/artigo/416980-psp-da-amadora-encontra-13-gatos-mortos-em-apartamento,Destak . pt | Covid - 19 : PSP da Amadora encontra 13 gatos mortos em apartamento,http://www.destak.pt/artigo/416980-psp-da-amadora-encontra-13-gatos-mortos-em-apartamento,NA,artlist,PO,,100 minutes,FALSE,250,https://api.gdeltproject.org/api/v2/doc/doc?query=%20sourcecountry:po&sourcelang:por&mode=artlist&format=json&timespan=100&maxrecords=250&sort=datedesc,NA,2020-04-25T14:45:00Z,http://www.destak.pt/images/newsletter_no_img.jpg,destak.pt,Portuguese,Portugal,"Covid-19
Treze gatos foram encontrados mortos na sexta-feira, em elevado estado de decomposição, no interior de um apartamento na Damaia, Amadora, cuja proprietária se ausentou há mais de um mês, disse hoje à Lusa fonte policial.
Segundo a fonte, a PSP da Amadora tomou conta da ocorrência após ter sido chamada ao local pelos vizinhos da proprietária que se queixavam da existência de um ""cheiro insuportável"".
De acordo com a fonte, a proprietária do apartamento, na casa dos 50 anos, terá ido há mais de um mês para a sua terra, no concelho de Torres Vedras, devido à pandemia da covid-19, abandonando os animais à sua sorte, que acabaram todos por morrer.",0.9646357051555177,0.9280809565036006,0.9686674216685542,0.970499243570348,0.9668425018839487,"Random Forests
('ranger' package, R 3.5.3.)
Wright MN, Ziegler A (2017). “ranger: A Fast Implementation of Random Forests for High Dimensional Data in C++ and R.” Journal of Statistical Software, 77(1), 1–17. doi: 10.18637/jss.v077.i01.",5479,0.4347048300536673,204,500,20,gini,classification,2020-04-05
1,Itália inicia testes serológicos a partir de 04 de maio,"As últimas notícias e reportagens sobre Portugal e o Mundo. Actualidade, Globo, Desporto, Fama e TV, Arte e Lazer. Passatempos. Todas as fotos e videos em destak.pt",Destak,2020-04-25 19:20:39,"Covid-19
Itália vai utilizar testes serológicos, que servem para detetar se uma pessoa desenvolveu anticorpos à covid-19, a partir de 04 de maio, quando o país iniciar a reabertura após quase dois meses de confinamento.
O comissário extraordinário designado para a emergência, Domenico Arcuri, disse hoje que estas provas se realizarão numa amostra de 150.000 pessoas em todo o território italiano.
Indicou também que está concluído o concurso para escolher a empresa que disponibilizará os testes de forma gratuita e precisou que se apresentaram mais de 70 empresas.",http://www.destak.pt/artigo/416988-italia-inicia-testes-serologicos-a-partir-de-04-de-maio,Destak . pt | Covid - 19 : Itália inicia testes serológicos a partir de 04 de maio,http://www.destak.pt/artigo/416988-italia-inicia-testes-serologicos-a-partir-de-04-de-maio,NA,artlist,PO,,100 minutes,FALSE,250,https://api.gdeltproject.org/api/v2/doc/doc?query=%20sourcecountry:po&sourcelang:por&mode=artlist&format=json&timespan=100&maxrecords=250&sort=datedesc,NA,2020-04-25T14:45:00Z,http://www.destak.pt/images/newsletter_no_img.jpg,destak.pt,Portuguese,Portugal,"Covid-19
Itália vai utilizar testes serológicos, que servem para detetar se uma pessoa desenvolveu anticorpos à covid-19, a partir de 04 de maio, quando o país iniciar a reabertura após quase dois meses de confinamento.
O comissário extraordinário designado para a emergência, Domenico Arcuri, disse hoje que estas provas se realizarão numa amostra de 150.000 pessoas em todo o território italiano.
Indicou também que está concluído o concurso para escolher a empresa que disponibilizará os testes de forma gratuita e precisou que se apresentaram mais de 70 empresas.",0.9646357051555177,0.9280809565036006,0.9686674216685542,0.970499243570348,0.9668425018839487,"Random Forests
('ranger' package, R 3.5.3.)
Wright MN, Ziegler A (2017). “ranger: A Fast Implementation of Random Forests for High Dimensional Data in C++ and R.” Journal of Statistical Software, 77(1), 1–17. doi: 10.18637/jss.v077.i01.",5479,0.4347048300536673,204,500,20,gini,classification,2020-04-05
1,"Mais de 2,8 milhões de infetados e 197.000 mortos em todo o mundo","As últimas notícias e reportagens sobre Portugal e o Mundo. Actualidade, Globo, Desporto, Fama e TV, Arte e Lazer. Passatempos. Todas as fotos e videos em destak.pt",Destak,2020-04-25 19:25:18,"Covid-19
O número de infetados pelo novo coronavírus já ultrapassou os 2,8 milhões e provocou a morte de mais de 197.000 pessoas em todo o mundo, desde que surgiu em dezembro na China, segundo um balanço da AFP às 11:00.
De acordo com os dados da agência noticiosa France-Presse A(FP), a partir de dados oficiais, às 11:00 de hoje, tinham sido diagnosticados 2.821.030 casos de infeção e confirmadas 197.303 mortes pelo SARS-CoV-2 em 193 países e territórios.
Pelo menos 766.300 desses casos são hoje considerados curados.",http://www.destak.pt/artigo/416983-mais-de-28-milhoes-de-infetados-e-197.000-mortos-em-todo-o-mundo,"Destak . pt | Covid - 19 : Mais de 2 , 8 milhões de infetados e 197 . 000 mortos em todo o mundo",http://www.destak.pt/artigo/416983-mais-de-28-milhoes-de-infetados-e-197.000-mortos-em-todo-o-mundo,NA,artlist,PO,,100 minutes,FALSE,250,https://api.gdeltproject.org/api/v2/doc/doc?query=%20sourcecountry:po&sourcelang:por&mode=artlist&format=json&timespan=100&maxrecords=250&sort=datedesc,NA,2020-04-25T14:45:00Z,http://www.destak.pt/images/newsletter_no_img.jpg,destak.pt,Portuguese,Portugal,"Covid-19
O número de infetados pelo novo coronavírus já ultrapassou os 2,8 milhões e provocou a morte de mais de 197.000 pessoas em todo o mundo, desde que surgiu em dezembro na China, segundo um balanço da AFP às 11:00.
De acordo com os dados da agência noticiosa France-Presse A(FP), a partir de dados oficiais, às 11:00 de hoje, tinham sido diagnosticados 2.821.030 casos de infeção e confirmadas 197.303 mortes pelo SARS-CoV-2 em 193 países e territórios.
Pelo menos 766.300 desses casos são hoje considerados curados.",0.9646357051555177,0.9280809565036006,0.9686674216685542,0.970499243570348,0.9668425018839487,"Random Forests
('ranger' package, R 3.5.3.)
Wright MN, Ziegler A (2017). “ranger: A Fast Implementation of Random Forests for High Dimensional Data in C++ and R.” Journal of Statistical Software, 77(1), 1–17. doi: 10.18637/jss.v077.i01.",5479,0.4347048300536673,204,500,20,gini,classification,2020-04-05
1,Alguns hospitais retomam as consultas programadas em 04 de maio - Governo,"As últimas notícias e reportagens sobre Portugal e o Mundo. Actualidade, Globo, Desporto, Fama e TV, Arte e Lazer. Passatempos. Todas as fotos e videos em destak.pt",Destak,2020-04-25 19:29:58,"Covid-19
Alguns hospitais vão retomar as consultas programadas já na semana que se inicia em 04 de maio, anunciou hoje a ministra da Saúde, Marta Temido, que salientou ser ""impossível"" sair da situação de pandemia da covid-19 ""sem cicatrizes"".
Na sexta-feira, o Ministério da Saúde contactou com a maioria dos hospitais que pertencem ao Serviço Nacional de Saúde, sendo que ""há hospitais em que o início da retoma [das consultas programadas] começa já na semana de 04 de maio"", afirmou Marta Temido, na conferência de imprensa diária de atualização de informação sobre a pandemia.
Outros hospitais irão retomar as consultas ""mais para adiante"", havendo instituições nas quais ""já se iniciou uma remarcação da atividade que há umas semanas estava suspensa"", acrescentou a ministra.",http://www.destak.pt/artigo/416984-alguns-hospitais-retomam-as-consultas-programadas-em-04-de-maio-governo,Destak . pt | Covid - 19 : Alguns hospitais retomam as consultas programadas em 04 de maio,http://www.destak.pt/artigo/416984-alguns-hospitais-retomam-as-consultas-programadas-em-04-de-maio-governo,NA,artlist,PO,,100 minutes,FALSE,250,https://api.gdeltproject.org/api/v2/doc/doc?query=%20sourcecountry:po&sourcelang:por&mode=artlist&format=json&timespan=100&maxrecords=250&sort=datedesc,NA,2020-04-25T14:45:00Z,http://www.destak.pt/images/newsletter_no_img.jpg,destak.pt,Portuguese,Portugal,"Covid-19
Alguns hospitais vão retomar as consultas programadas já na semana que se inicia em 04 de maio, anunciou hoje a ministra da Saúde, Marta Temido, que salientou ser ""impossível"" sair da situação de pandemia da covid-19 ""sem cicatrizes"".
Na sexta-feira, o Ministério da Saúde contactou com a maioria dos hospitais que pertencem ao Serviço Nacional de Saúde, sendo que ""há hospitais em que o início da retoma [das consultas programadas] começa já na semana de 04 de maio"", afirmou Marta Temido, na conferência de imprensa diária de atualização de informação sobre a pandemia.
Outros hospitais irão retomar as consultas ""mais para adiante"", havendo instituições nas quais ""já se iniciou uma remarcação da atividade que há umas semanas estava suspensa"", acrescentou a ministra.",0.9646357051555177,0.9280809565036006,0.9686674216685542,0.970499243570348,0.9668425018839487,"Random Forests
('ranger' package, R 3.5.3.)
Wright MN, Ziegler A (2017). “ranger: A Fast Implementation of Random Forests for High Dimensional Data in C++ and R.” Journal of Statistical Software, 77(1), 1–17. doi: 10.18637/jss.v077.i01.",5479,0.4347048300536673,204,500,20,gini,classification,2020-04-05
1,Parlamento deu exemplo de como se compatibiliza uma comemoração com regras de proteção - DGS,"As últimas notícias e reportagens sobre Portugal e o Mundo. Actualidade, Globo, Desporto, Fama e TV, Arte e Lazer. Passatempos. Todas as fotos e videos em destak.pt",Destak,2020-04-25 19:34:39,"Covid-19
A Assembleia da República ""deu um exemplo"" de como se pode compatibilizar uma comemoração com as regras de proteção e segurança face à pandemia da covid-19, afirmou hoje a diretora-geral da Saúde, Graça Freitas.
""A Assembleia da República deu um exemplo [com as comemorações do 25 de Abril] de como se pode compatibilizar uma data importante para o nosso país com regras de controlo de infeção, com regras de segurança e de proteção da saúde"", vincou Graça Freitas, na conferência de imprensa diária de atualização de informação sobre a pandemia.
A responsável salientou que a Assembleia da República tem um plano de contingência ""excelente"" e que acautela todas as situações, seja a cerimónia que hoje se realizou, seja plenários que se realizam naquele local.",http://www.destak.pt/artigo/416989-parlamento-deu-exemplo-de-como-se-compatibiliza-uma-comemoracao-com-regras-de-protecao-dgs,Destak . pt | Covid - 19 : Parlamento deu exemplo de como se compatibiliza uma comemorao com regras de proteo,http://www.destak.pt/artigo/416989-parlamento-deu-exemplo-de-como-se-compatibiliza-uma-comemoracao-com-regras-de-protecao-dgs,NA,artlist,PO,,100 minutes,FALSE,250,https://api.gdeltproject.org/api/v2/doc/doc?query=%20sourcecountry:po&sourcelang:por&mode=artlist&format=json&timespan=100&maxrecords=250&sort=datedesc,NA,2020-04-25T14:45:00Z,http://www.destak.pt/images/newsletter_no_img.jpg,destak.pt,Portuguese,Portugal,"Covid-19
A Assembleia da República ""deu um exemplo"" de como se pode compatibilizar uma comemoração com as regras de proteção e segurança face à pandemia da covid-19, afirmou hoje a diretora-geral da Saúde, Graça Freitas.
""A Assembleia da República deu um exemplo [com as comemorações do 25 de Abril] de como se pode compatibilizar uma data importante para o nosso país com regras de controlo de infeção, com regras de segurança e de proteção da saúde"", vincou Graça Freitas, na conferência de imprensa diária de atualização de informação sobre a pandemia.
A responsável salientou que a Assembleia da República tem um plano de contingência ""excelente"" e que acautela todas as situações, seja a cerimónia que hoje se realizou, seja plenários que se realizam naquele local.",0.9646357051555177,0.9280809565036006,0.9686674216685542,0.970499243570348,0.9668425018839487,"Random Forests
('ranger' package, R 3.5.3.)
Wright MN, Ziegler A (2017). “ranger: A Fast Implementation of Random Forests for High Dimensional Data in C++ and R.” Journal of Statistical Software, 77(1), 1–17. doi: 10.18637/jss.v077.i01.",5479,0.4347048300536673,204,500,20,gini,classification,2020-04-05
1,Governo e Federação Portuguesa de Futebol avaliam regresso,"As últimas notícias e reportagens sobre Portugal e o Mundo. Actualidade, Globo, Desporto, Fama e TV, Arte e Lazer. Passatempos. Todas as fotos e videos em destak.pt",Destak,2020-04-25 19:34:40,"Covid-19
As condições para o regresso das competições de futebol, suspensas devido à pandemia covid-19, começaram a ser avaliadas na sexta-feira, na primeira reunião entre Governo e Federação Portuguesa de Futebol (FPF), disse à Lusa fonte ligada ao processo.
De acordo com aquela fonte, e à semelhança do que vem acontecendo noutros países, as equipas focais estabelecidas pela Direção-Geral da Saúde e da FPF, vão procurar criar as condições para que as provas tenham a possibilidade de se concluir.
Em representação do Governo na reunião estiveram os ministros da Saúde e da Educação, Marta Temido e Tiago Brandão Rodrigues, respetivamente, e os secretários de Estado da Saúde e da Juventude e Desporto, António Lacerda Sales e João Paulo Rebelo, respetivamente.",http://www.destak.pt/artigo/416982-governo-e-federacao-portuguesa-de-futebol-avaliam-regresso,Destak . pt | Covid - 19 : Governo e Federao Portuguesa de Futebol avaliam regresso,http://www.destak.pt/artigo/416982-governo-e-federacao-portuguesa-de-futebol-avaliam-regresso,NA,artlist,PO,,100 minutes,FALSE,250,https://api.gdeltproject.org/api/v2/doc/doc?query=%20sourcecountry:po&sourcelang:por&mode=artlist&format=json&timespan=100&maxrecords=250&sort=datedesc,NA,2020-04-25T14:45:00Z,http://www.destak.pt/images/newsletter_no_img.jpg,destak.pt,Portuguese,Portugal,"Covid-19
As condições para o regresso das competições de futebol, suspensas devido à pandemia covid-19, começaram a ser avaliadas na sexta-feira, na primeira reunião entre Governo e Federação Portuguesa de Futebol (FPF), disse à Lusa fonte ligada ao processo.
De acordo com aquela fonte, e à semelhança do que vem acontecendo noutros países, as equipas focais estabelecidas pela Direção-Geral da Saúde e da FPF, vão procurar criar as condições para que as provas tenham a possibilidade de se concluir.
Em representação do Governo na reunião estiveram os ministros da Saúde e da Educação, Marta Temido e Tiago Brandão Rodrigues, respetivamente, e os secretários de Estado da Saúde e da Juventude e Desporto, António Lacerda Sales e João Paulo Rebelo, respetivamente.",0.9646357051555177,0.9280809565036006,0.9686674216685542,0.970499243570348,0.9668425018839487,"Random Forests
('ranger' package, R 3.5.3.)
Wright MN, Ziegler A (2017). “ranger: A Fast Implementation of Random Forests for High Dimensional Data in C++ and R.” Journal of Statistical Software, 77(1), 1–17. doi: 10.18637/jss.v077.i01.",5479,0.4347048300536673,204,500,20,gini,classification,2020-04-05
1,Associações da restauração aconselham medição mas não registo da temperatura,"As últimas notícias e reportagens sobre Portugal e o Mundo. Actualidade, Globo, Desporto, Fama e TV, Arte e Lazer. Passatempos. Todas as fotos e videos em destak.pt",Destak,2020-04-25 19:39:18,"Covid-19
As associações do setor da restauração defendem o controlo da temperatura de trabalhadores e clientes como medida de prevenção da covid-19 mas não o registo dos dados recolhidos o que, acreditam, permitirá ultrapassar eventuais ilegalidades.
Numa nota publicada esta sexta-feira no seu site, a Comissão Nacional de Proteção de Dados refere as empresas não podem ""proceder à recolha e registo da temperatura corporal dos trabalhadores ou de outra informação relativa à saúde ou a eventuais comportamentos de risco dos seus trabalhadores"".
A medição da temperatura é uma das medidas na área da saúde, higiene e segurança para trabalhadores, clientes que a Associação da Hotelaria, restauração e Similares de Portugal (AHRESP) e a associação PRO.VAR (Promover e Inovar a Restauração Nacional) têm defendido no âmbito do processo de reabertura dos restaurantes.",http://www.destak.pt/artigo/416987-associacoes-da-restauracao-aconselham-medicao-mas-nao-registo-da-temperatura,Destak . pt | Covid - 19 : Associaes da restaurao aconselham medio mas não registo da temperatura,http://www.destak.pt/artigo/416987-associacoes-da-restauracao-aconselham-medicao-mas-nao-registo-da-temperatura,NA,artlist,PO,,100 minutes,FALSE,250,https://api.gdeltproject.org/api/v2/doc/doc?query=%20sourcecountry:po&sourcelang:por&mode=artlist&format=json&timespan=100&maxrecords=250&sort=datedesc,NA,2020-04-25T14:45:00Z,http://www.destak.pt/images/newsletter_no_img.jpg,destak.pt,Portuguese,Portugal,"Covid-19
As associações do setor da restauração defendem o controlo da temperatura de trabalhadores e clientes como medida de prevenção da covid-19 mas não o registo dos dados recolhidos o que, acreditam, permitirá ultrapassar eventuais ilegalidades.
Numa nota publicada esta sexta-feira no seu site, a Comissão Nacional de Proteção de Dados refere as empresas não podem ""proceder à recolha e registo da temperatura corporal dos trabalhadores ou de outra informação relativa à saúde ou a eventuais comportamentos de risco dos seus trabalhadores"".
A medição da temperatura é uma das medidas na área da saúde, higiene e segurança para trabalhadores, clientes que a Associação da Hotelaria, restauração e Similares de Portugal (AHRESP) e a associação PRO.VAR (Promover e Inovar a Restauração Nacional) têm defendido no âmbito do processo de reabertura dos restaurantes.",0.9646357051555177,0.9280809565036006,0.9686674216685542,0.970499243570348,0.9668425018839487,"Random Forests
('ranger' package, R 3.5.3.)
Wright MN, Ziegler A (2017). “ranger: A Fast Implementation of Random Forests for High Dimensional Data in C++ and R.” Journal of Statistical Software, 77(1), 1–17. doi: 10.18637/jss.v077.i01.",5479,0.4347048300536673,204,500,20,gini,classification,2020-04-05
1,Doentes em casa passam a recuperados só com um teste negativo,"As últimas notícias e reportagens sobre Portugal e o Mundo. Actualidade, Globo, Desporto, Fama e TV, Arte e Lazer. Passatempos. Todas as fotos e videos em destak.pt",Destak,2020-04-25 19:44:45,"Covid-19
Já os doentes internados em hospitais continuarão a precisar de ter dois testes negativos, com um intervalo de 24 horas, para serem considerados recuperados da doença da covid-19, anunciaram a ministra da Saúde, Marta Temido, e a diretora-geral da Sáude, Graça Freitas, na conferência de imprensa diária sobre a situação da pandemia do novo coronavírus em Portugal.
Graça Freitas explicou que ""os doentes ligeiros, que fiquem no domicílio e que tenham sintomas ligeiros, têm a indicação para fazer um único teste e são considerados recuperados se o teste der negativo"", ultrapassados os sintomas.
""É um passo em frente"", subinhou.",http://www.destak.pt/artigo/416985-doentes-em-casa-passam-a-recuperados-so-com-um-teste-negativo,Destak . pt | Covid - 19 : Doentes em casa passam a recuperados só com um teste negativo,http://www.destak.pt/artigo/416985-doentes-em-casa-passam-a-recuperados-so-com-um-teste-negativo,NA,artlist,PO,,100 minutes,FALSE,250,https://api.gdeltproject.org/api/v2/doc/doc?query=%20sourcecountry:po&sourcelang:por&mode=artlist&format=json&timespan=100&maxrecords=250&sort=datedesc,NA,2020-04-25T14:45:00Z,http://www.destak.pt/images/newsletter_no_img.jpg,destak.pt,Portuguese,Portugal,"Covid-19
Já os doentes internados em hospitais continuarão a precisar de ter dois testes negativos, com um intervalo de 24 horas, para serem considerados recuperados da doença da covid-19, anunciaram a ministra da Saúde, Marta Temido, e a diretora-geral da Sáude, Graça Freitas, na conferência de imprensa diária sobre a situação da pandemia do novo coronavírus em Portugal.
Graça Freitas explicou que ""os doentes ligeiros, que fiquem no domicílio e que tenham sintomas ligeiros, têm a indicação para fazer um único teste e são considerados recuperados se o teste der negativo"", ultrapassados os sintomas.
""É um passo em frente"", subinhou.",0.9646357051555177,0.9280809565036006,0.9686674216685542,0.970499243570348,0.9668425018839487,"Random Forests
('ranger' package, R 3.5.3.)
Wright MN, Ziegler A (2017). “ranger: A Fast Implementation of Random Forests for High Dimensional Data in C++ and R.” Journal of Statistical Software, 77(1), 1–17. doi: 10.18637/jss.v077.i01.",5479,0.4347048300536673,204,500,20,gini,classification,2020-04-05
